Attaching to dataclay_logicmodule_1
[36mlogicmodule_1  |[0m 2019-11-13T17:26:04,495 INFO [LogicModule] [LM-1-thread-1] [LogicModule:757] [LOGICMODULE] Registered ExecutionEnvironment [EE/DS1/172.31.0.5:6867] for language `LANG_PYTHON` as 8f9f7e54-55cc-4d7b-a7e1-2b96db119739 associated to storage location 96c5bb62-d81f-4aaf-a4a1-66e576055d2a
[36mlogicmodule_1  |[0m 2019-11-13T17:26:26,987 DEBUG [util.Configuration] [LM-1-thread-1] [Configuration$Flags:438] Looking for env variable set in global.properties: CHECK_SESSION
[36mlogicmodule_1  |[0m 2019-11-13T17:26:26,988 DEBUG [util.Configuration] [LM-1-thread-1] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: CHECK_SESSION=null
[36mlogicmodule_1  |[0m 2019-11-13T17:26:26,990 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:3620] Got execution environments: {8f9f7e54-55cc-4d7b-a7e1-2b96db119739=[EE/DS1/172.31.0.5:6867]}
[36mlogicmodule_1  |[0m 2019-11-13T17:26:27,691 DEBUG [LogicModule] [LM-1-thread-1] [LogicModule:3437] Registering object explicit call: {oid = 8ff7b6cb-72db-4c46-bc19-7334986d3b23, classID = 8b076e02-1ea5-4a3d-bdbb-90d8dc45214c, storeSessionID = 884645e0-8fbb-4839-afb8-9ab23b5474d0, dataSetId = null}
[36mlogicmodule_1  |[0m 2019-11-13T17:26:27,693 DEBUG [LogicModule] [LM-1-thread-1] [SessionManager:205] Session found in cache: 884645e0-8fbb-4839-afb8-9ab23b5474d0
[36mlogicmodule_1  |[0m 2019-11-13T17:26:27,694 DEBUG [LogicModule] [LM-1-thread-1] [SessionManager:214] Creating new session info: 884645e0-8fbb-4839-afb8-9ab23b5474d0
[36mlogicmodule_1  |[0m 2019-11-13T17:26:27,697 DEBUG [util.Configuration] [LM-1-thread-1] [Configuration$Flags:438] Looking for env variable set in global.properties: READONLY_BY_DEFAULT
[36mlogicmodule_1  |[0m 2019-11-13T17:26:27,698 DEBUG [util.Configuration] [LM-1-thread-1] [Configuration$Flags:477] Not found environment variable set in global.properties, using default: READONLY_BY_DEFAULT=null
[36mlogicmodule_1  |[0m 2019-11-13T17:26:27,698 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:221] Alias my-pycity not found in cache.
[36mlogicmodule_1  |[0m 2019-11-13T17:26:27,705 DEBUG [MetaDataService] [LM-1-thread-1] [MetaDataService:344] Registering object 8ff7b6cb-72db-4c46-bc19-7334986d3b23 with alias: [my-pycity] and language LANG_PYTHON.
